sim_time_s,elapsed_s,x_m,y_m,z_m,control_mode
0.002,0.0,4.108448121468339e-09,5.173344679203621e-09,0.2499423753575334,Rolling
0.03600000000000002,0.034000000000000016,4.9332933594597135e-08,6.295182924916804e-07,0.24082087311969105,Rolling
0.07000000000000005,0.06800000000000005,7.136401698181353e-08,2.212885626489518e-06,0.21897379075323453,Rolling
0.10400000000000008,0.10200000000000008,1.9015577935674036e-05,5.28573326886548e-06,0.1936121928212984,Rolling
0.1380000000000001,0.1360000000000001,7.266587982037431e-05,-0.0003155880433631452,0.19580749335857606,Rolling
0.17200000000000013,0.17000000000000012,0.00010930344310035503,-0.0008729021073218999,0.1985124557269033,Rolling
0.20600000000000016,0.20400000000000015,0.00015816186236978266,-0.0015558951540866398,0.1994242070166598,Rolling
0.24000000000000019,0.23800000000000018,0.0002226508025198349,-0.0023520352677182032,0.1996215445941007,Rolling
0.2740000000000002,0.2720000000000002,0.0003044095391428473,-0.0032565976207489,0.19963755616258738,Rolling
0.3080000000000002,0.3060000000000002,0.00040529219043007126,-0.0042665081241142514,0.19963605851749877,Rolling
0.34200000000000025,0.34000000000000025,0.0005273215198978435,-0.005378075575081442,0.19963579151069352,Rolling
0.3760000000000003,0.3740000000000003,0.0006725407001476432,-0.006587501053669036,0.19963633043357212,Rolling
0.4100000000000003,0.4080000000000003,0.0008429340658713016,-0.007891069674242588,0.19963710244537772,Rolling
0.44400000000000034,0.44200000000000034,0.0010404146728389134,-0.00928517399109391,0.19963800107551075,Rolling
0.47800000000000037,0.47600000000000037,0.0012668258673372331,-0.01076631479510124,0.19963902133898884,Rolling
0.5120000000000003,0.5100000000000003,0.0015239442208124512,-0.01233110073644808,0.19964016690995243,Rolling
0.5460000000000004,0.5440000000000004,0.001813482400086927,-0.013976247805416684,0.19964144004042741,Rolling
0.5800000000000004,0.5780000000000004,0.0021370919729908297,-0.015698578447293946,0.1996428418668175,Rolling
0.6140000000000004,0.6120000000000004,0.0024963661694591605,-0.017495020250482923,0.19964437276270408,Rolling
0.6480000000000005,0.6460000000000005,0.002892842585502618,-0.019362604200204594,0.19964603242656775,Rolling
0.6820000000000005,0.6800000000000005,0.003328005809942895,-0.02129846250010447,0.19964781990637628,Rolling
0.7160000000000005,0.7140000000000005,0.0038032899531502563,-0.023299825968177788,0.19964973361262342,Rolling
0.7500000000000006,0.7480000000000006,0.004320081057268392,-0.025364021016508292,0.1996517713262267,Rolling
0.7840000000000006,0.7820000000000006,0.004879719367740921,-0.027488466226696713,0.19965393020194655,Rolling
0.8180000000000006,0.8160000000000006,0.005483501446338829,-0.02967066853469088,0.1996562067679264,Rolling
0.8520000000000006,0.8500000000000006,0.0061326821063423485,-0.03190821904018162,0.1996585969221019,Rolling
0.8860000000000007,0.8840000000000007,0.00682847615106199,-0.03419878845694078,0.19966109592627765,Rolling
0.9200000000000007,0.9180000000000007,0.007572059897502164,-0.03654012222157504,0.1996636983986976,Rolling
0.9540000000000007,0.9520000000000007,0.008364572467693912,-0.038930035279259666,0.19966639830596533,Rolling
0.9880000000000008,0.9860000000000008,0.009207116831072526,-0.04136640656619627,0.19966918895520117,Rolling
1.0220000000000007,1.0200000000000007,0.010100760582277974,-0.04384717320988681,0.19967206298735746,Rolling
1.0560000000000007,1.0540000000000007,0.011046536439941058,-0.046370324469899214,0.1996750123726409,Rolling
1.0900000000000007,1.0880000000000007,0.012045442453418426,-0.04893389544366861,0.19967802840901983,Rolling
1.1240000000000008,1.1220000000000008,0.01309844190608841,-0.051535960564068076,0.19968110172480827,Rolling
1.1580000000000008,1.1560000000000008,0.014206462905749747,-0.05417462691801318,0.19968422228632485,Rolling
1.1920000000000008,1.1900000000000008,0.015370397654907709,-0.056848027418237856,0.1996873794116141,Rolling
1.2260000000000009,1.2240000000000009,0.01659110139631341,-0.059554313863579136,0.1996905617911849,Rolling
1.260000000000001,1.258000000000001,0.017869391032063295,-0.06229164992660047,0.19969375751666762,Rolling
1.294000000000001,1.292000000000001,0.01920604341787997,-0.06505820411111249,0.1996969541182092,Rolling
